Area,Date,Number,MOE,Percent,Percent MOE,Week Num,Month,Year,State Abbr
Connecticut,"May 12, 2021",753762,58979,28.1,2.2,30 ,May 12, 2021,CT
Delaware,"May 12, 2021",202710,23356,26.6,3.1,30 ,May 12, 2021,DE
District of Columbia,"May 12, 2021",335951,18680,61.6,3.4,30 ,May 12, 2021,DC
Florida,"May 12, 2021",3388286,267116,19.9,1.6,30 ,May 12, 2021,FL
Georgia,"May 12, 2021",1747636,158175,22.2,2.0,30 ,May 12, 2021,GA
Hawaii,"May 12, 2021",235006,39184,22.4,3.7,30 ,May 12, 2021,HI
Idaho,"May 12, 2021",252124,32059,18.5,2.4,30 ,May 12, 2021,ID
Illinois,"May 12, 2021",3092053,188646,32.8,2.0,30 ,May 12, 2021,IL
Indiana,"May 12, 2021",984067,135940,19.8,2.7,30 ,May 12, 2021,IN
Iowa,"May 12, 2021",428371,57065,18.6,2.5,30 ,May 12, 2021,IA
Kansas,"May 12, 2021",462835,48862,21.9,2.4,30 ,May 12, 2021,KS
Kentucky,"May 12, 2021",552029,89045,16.6,2.7,30 ,May 12, 2021,KY
Louisiana,"May 12, 2021",435086,68426,12.9,2.0,30 ,May 12, 2021,LA
Maine,"May 12, 2021",224831,42729,21.1,4.0,30 ,May 12, 2021,ME
Maryland,"May 12, 2021",1719239,119591,38.1,2.7,30 ,May 12, 2021,MD
Massachusetts,"May 12, 2021",1861042,113973,35.5,2.2,30 ,May 12, 2021,MA
Michigan,"May 12, 2021",1896971,164683,25.1,2.2,30 ,May 12, 2021,MI
Minnesota,"May 12, 2021",1310733,81730,31.0,2.0,30 ,May 12, 2021,MN
Mississippi,"May 12, 2021",304184,78324,14.0,3.6,30 ,May 12, 2021,MS
Missouri,"May 12, 2021",1000439,120829,21.8,2.6,30 ,May 12, 2021,MO
Montana,"May 12, 2021",116814,20017,14.2,2.4,30 ,May 12, 2021,MT
Nebraska,"May 12, 2021",321171,32456,22.7,2.3,30 ,May 12, 2021,NE
Nevada,"May 12, 2021",420013,56034,17.2,2.3,30 ,May 12, 2021,NV
New Hampshire,"May 12, 2021",317487,34304,29.5,3.2,30 ,May 12, 2021,NH
New Jersey,"May 12, 2021",2207028,163299,33.1,2.5,30 ,May 12, 2021,NJ
New Mexico,"May 12, 2021",361477,30397,22.9,1.9,30 ,May 12, 2021,NM
New York,"May 12, 2021",4301070,389927,29.8,2.8,30 ,May 12, 2021,NY
North Carolina,"May 12, 2021",1995712,238580,24.7,2.9,30 ,May 12, 2021,NC
North Dakota,"May 12, 2021",79704,19782,14.3,3.6,30 ,May 12, 2021,ND
Ohio,"May 12, 2021",1812257,175905,20.6,2.0,30 ,May 12, 2021,OH
Oklahoma,"May 12, 2021",520587,82042,17.8,2.8,30 ,May 12, 2021,OK
Oregon,"May 12, 2021",897223,74524,27.1,2.2,30 ,May 12, 2021,OR
Pennsylvania,"May 12, 2021",2200038,209904,22.7,2.2,30 ,May 12, 2021,PA
Rhode Island,"May 12, 2021",219029,27376,27.2,3.5,30 ,May 12, 2021,RI
South Carolina,"May 12, 2021",589023,113284,14.8,2.9,30 ,May 12, 2021,SC
South Dakota,"May 12, 2021",103239,16557,16.1,2.6,30 ,May 12, 2021,SD
Tennessee,"May 12, 2021",1090151,154180,20.8,3.0,30 ,May 12, 2021,TN
Texas,"May 12, 2021",5171702,440720,24.2,2.1,30 ,May 12, 2021,TX
Utah,"May 12, 2021",809302,46500,35.0,2.0,30 ,May 12, 2021,UT
Vermont,"May 12, 2021",122091,19291,25.3,4.0,30 ,May 12, 2021,VT
Virginia,"May 12, 2021",2067663,144088,32.0,2.2,30 ,May 12, 2021,VA
Washington,"May 12, 2021",1939146,127876,33.1,2.2,30 ,May 12, 2021,WA
West Virginia,"May 12, 2021",179503,38210,13.3,2.8,30 ,May 12, 2021,WV
Wisconsin,"May 12, 2021",1007892,92811,22.8,2.1,30 ,May 12, 2021,WI
Wyoming,"May 12, 2021",42628,11833,9.8,2.7,30 ,May 12, 2021,WY
Alabama,"May 26, 2021",568678,117767,15.3,3.2,31 ,May 26, 2021,AL
Alaska,"May 26, 2021",93726,14245,17.9,2.7,31 ,May 26, 2021,AK
Arizona,"May 26, 2021",1367357,135842,24.1,2.4,31 ,May 26, 2021,AZ
Arkansas,"May 26, 2021",287075,49791,12.8,2.2,31 ,May 26, 2021,AR
California,"May 26, 2021",9020863,560407,30.6,1.9,31 ,May 26, 2021,CA
Colorado,"May 26, 2021",1381353,136109,31.0,3.0,31 ,May 26, 2021,CO
Connecticut,"May 26, 2021",875287,87625,33.0,3.2,31 ,May 26, 2021,CT
Delaware,"May 26, 2021",205483,23840,27.3,3.1,31 ,May 26, 2021,DE
District of Columbia,"May 26, 2021",296017,19678,55.0,3.6,31 ,May 26, 2021,DC
Florida,"May 26, 2021",3561852,346474,20.9,2.1,31 ,May 26, 2021,FL
Georgia,"May 26, 2021",1865137,190859,23.4,2.4,31 ,May 26, 2021,GA
Hawaii,"May 26, 2021",224112,35076,21.2,3.3,31 ,May 26, 2021,HI
Idaho,"May 26, 2021",240174,43553,17.6,3.2,31 ,May 26, 2021,ID
Illinois,"May 26, 2021",2576817,230164,27.5,2.5,31 ,May 26, 2021,IL
Indiana,"May 26, 2021",930655,91177,18.8,1.8,31 ,May 26, 2021,IN
Iowa,"May 26, 2021",453972,60075,19.5,2.6,31 ,May 26, 2021,IA
Kansas,"May 26, 2021",471841,48955,22.4,2.3,31 ,May 26, 2021,KS
Kentucky,"May 26, 2021",605855,100041,18.4,3.1,31 ,May 26, 2021,KY
Louisiana,"May 26, 2021",378029,75917,11.3,2.2,31 ,May 26, 2021,LA
Maine,"May 26, 2021",222128,29184,20.9,2.8,31 ,May 26, 2021,ME
Maryland,"May 26, 2021",1677172,130107,37.0,2.8,31 ,May 26, 2021,MD
Massachusetts,"May 26, 2021",1982655,114780,37.8,2.2,31 ,May 26, 2021,MA
Michigan,"May 26, 2021",1733091,151983,23.1,2.0,31 ,May 26, 2021,MI
Minnesota,"May 26, 2021",1321781,108356,31.2,2.6,31 ,May 26, 2021,MN
Mississippi,"May 26, 2021",250001,58317,11.8,2.8,31 ,May 26, 2021,MS
Missouri,"May 26, 2021",992184,99518,21.7,2.2,31 ,May 26, 2021,MO
Montana,"May 26, 2021",117429,24454,14.2,2.9,31 ,May 26, 2021,MT
Nebraska,"May 26, 2021",306372,41658,21.8,3.0,31 ,May 26, 2021,NE
Nevada,"May 26, 2021",416815,51840,17.4,2.2,31 ,May 26, 2021,NV
New Hampshire,"May 26, 2021",299932,33954,27.9,3.2,31 ,May 26, 2021,NH
New Jersey,"May 26, 2021",2132607,194942,32.3,3.0,31 ,May 26, 2021,NJ
New Mexico,"May 26, 2021",356141,51668,22.5,3.2,31 ,May 26, 2021,NM
New York,"May 26, 2021",3717866,395787,25.6,2.7,31 ,May 26, 2021,NY
North Carolina,"May 26, 2021",1826836,229644,22.7,2.8,31 ,May 26, 2021,NC
North Dakota,"May 26, 2021",81600,20022,14.8,3.6,31 ,May 26, 2021,ND
Ohio,"May 26, 2021",1524760,157601,17.6,1.8,31 ,May 26, 2021,OH
Oklahoma,"May 26, 2021",474424,77913,16.3,2.7,31 ,May 26, 2021,OK
Oregon,"May 26, 2021",877813,65210,26.7,1.9,31 ,May 26, 2021,OR
Pennsylvania,"May 26, 2021",2548000,237795,26.4,2.5,31 ,May 26, 2021,PA
Rhode Island,"May 26, 2021",231543,39105,28.9,4.9,31 ,May 26, 2021,RI
South Carolina,"May 26, 2021",672809,116598,17.0,2.9,31 ,May 26, 2021,SC
South Dakota,"May 26, 2021",82421,16732,12.8,2.6,31 ,May 26, 2021,SD
Tennessee,"May 26, 2021",779179,121574,15.1,2.4,31 ,May 26, 2021,TN
Texas,"May 26, 2021",4752652,311253,22.1,1.5,31 ,May 26, 2021,TX
Utah,"May 26, 2021",677051,44572,29.4,2.0,31 ,May 26, 2021,UT
Vermont,"May 26, 2021",133742,18650,27.6,3.8,31 ,May 26, 2021,VT
Virginia,"May 26, 2021",1942598,149460,30.1,2.3,31 ,May 26, 2021,VA
Washington,"May 26, 2021",1814457,109127,30.9,1.9,31 ,May 26, 2021,WA
West Virginia,"May 26, 2021",184400,33247,13.6,2.5,31 ,May 26, 2021,WV
Wisconsin,"May 26, 2021",884108,91447,19.9,2.1,31 ,May 26, 2021,WI
Wyoming,"May 26, 2021",58754,14006,13.6,3.3,31 ,May 26, 2021,WY
Alabama,"June 9, 2021",531385,104542,14.4,2.8,32 ,June 9, 2021,AL
Alaska,"June 9, 2021",83553,11947,16.1,2.3,32 ,June 9, 2021,AK
Arizona,"June 9, 2021",1471318,133589,25.7,2.4,32 ,June 9, 2021,AZ
Arkansas,"June 9, 2021",297316,50463,13.2,2.2,32 ,June 9, 2021,AR
California,"June 9, 2021",8218402,471367,27.9,1.6,32 ,June 9, 2021,CA
Colorado,"June 9, 2021",1310021,117205,29.3,2.7,32 ,June 9, 2021,CO
Connecticut,"June 9, 2021",707643,60649,26.2,2.2,32 ,June 9, 2021,CT
Delaware,"June 9, 2021",204071,27978,26.7,3.7,32 ,June 9, 2021,DE
District of Columbia,"June 9, 2021",283820,13226,52.2,2.4,32 ,June 9, 2021,DC
Florida,"June 9, 2021",2771090,349491,16.2,2.0,32 ,June 9, 2021,FL
Georgia,"June 9, 2021",1806582,184025,22.8,2.3,32 ,June 9, 2021,GA
Hawaii,"June 9, 2021",204223,39111,19.5,3.7,32 ,June 9, 2021,HI
Idaho,"June 9, 2021",288720,40637,21.3,3.0,32 ,June 9, 2021,ID
Illinois,"June 9, 2021",2370978,206203,25.2,2.2,32 ,June 9, 2021,IL
Indiana,"June 9, 2021",703310,110061,14.1,2.2,32 ,June 9, 2021,IN
Iowa,"June 9, 2021",407752,57184,17.5,2.5,32 ,June 9, 2021,IA
Kansas,"June 9, 2021",460114,58806,21.5,2.7,32 ,June 9, 2021,KS
Kentucky,"June 9, 2021",479083,71945,14.5,2.1,32 ,June 9, 2021,KY
Louisiana,"June 9, 2021",487669,114925,14.6,3.4,32 ,June 9, 2021,LA
Maine,"June 9, 2021",232549,39052,21.8,3.7,32 ,June 9, 2021,ME
Maryland,"June 9, 2021",1537445,100596,33.7,2.2,32 ,June 9, 2021,MD
Massachusetts,"June 9, 2021",1872583,114468,35.8,2.2,32 ,June 9, 2021,MA
Michigan,"June 9, 2021",1541297,150533,20.4,2.0,32 ,June 9, 2021,MI
Minnesota,"June 9, 2021",1208676,129408,28.5,3.1,32 ,June 9, 2021,MN
Mississippi,"June 9, 2021",199664,50156,9.2,2.3,32 ,June 9, 2021,MS
Missouri,"June 9, 2021",926050,112125,20.1,2.4,32 ,June 9, 2021,MO
Montana,"June 9, 2021",115075,24596,14.1,3.0,32 ,June 9, 2021,MT
Nebraska,"June 9, 2021",278954,37119,19.9,2.7,32 ,June 9, 2021,NE
Nevada,"June 9, 2021",448638,66008,18.5,2.7,32 ,June 9, 2021,NV
New Hampshire,"June 9, 2021",281716,30212,26.2,2.8,32 ,June 9, 2021,NH
New Jersey,"June 9, 2021",2189662,188658,32.9,2.8,32 ,June 9, 2021,NJ
New Mexico,"June 9, 2021",320779,50173,20.1,3.1,32 ,June 9, 2021,NM
New York,"June 9, 2021",4024218,442111,27.7,3.0,32 ,June 9, 2021,NY
North Carolina,"June 9, 2021",1702797,191058,21.1,2.4,32 ,June 9, 2021,NC
North Dakota,"June 9, 2021",73667,16954,13.2,3.0,32 ,June 9, 2021,ND
Ohio,"June 9, 2021",1810184,230885,20.7,2.7,32 ,June 9, 2021,OH
Oklahoma,"June 9, 2021",470819,100797,16.3,3.5,32 ,June 9, 2021,OK
Oregon,"June 9, 2021",973465,75558,29.6,2.3,32 ,June 9, 2021,OR
Pennsylvania,"June 9, 2021",2668715,279575,28.2,3.0,32 ,June 9, 2021,PA
Rhode Island,"June 9, 2021",172484,25846,21.3,3.2,32 ,June 9, 2021,RI
South Carolina,"June 9, 2021",526436,82989,13.1,2.1,32 ,June 9, 2021,SC
South Dakota,"June 9, 2021",77278,16307,12.3,2.6,32 ,June 9, 2021,SD
Tennessee,"June 9, 2021",1062368,138149,20.5,2.6,32 ,June 9, 2021,TN
Texas,"June 9, 2021",5029443,471238,23.5,2.2,32 ,June 9, 2021,TX
Utah,"June 9, 2021",787213,66769,34.2,2.9,32 ,June 9, 2021,UT
Vermont,"June 9, 2021",114762,17327,24.0,3.6,32 ,June 9, 2021,VT
Virginia,"June 9, 2021",1802213,136640,27.8,2.1,32 ,June 9, 2021,VA
Washington,"June 9, 2021",1902029,125299,32.5,2.1,32 ,June 9, 2021,WA
West Virginia,"June 9, 2021",163706,46021,12.0,3.4,32 ,June 9, 2021,WV
Wisconsin,"June 9, 2021",987240,94026,22.4,2.2,32 ,June 9, 2021,WI
Wyoming,"June 9, 2021",42819,11834,9.8,2.7,32 ,June 9, 2021,WY
Alabama,"June 23, 2021",566468,108211,15.4,2.9,33 ,June 23, 2021,AL
Alaska,"June 23, 2021",89991,12271,17.3,2.4,33 ,June 23, 2021,AK
Arizona,"June 23, 2021",1399262,136596,24.5,2.4,33 ,June 23, 2021,AZ
Arkansas,"June 23, 2021",324622,61408,14.6,2.7,33 ,June 23, 2021,AR
California,"June 23, 2021",8419160,461930,28.6,1.6,33 ,June 23, 2021,CA
Colorado,"June 23, 2021",1319273,122823,29.8,2.7,33 ,June 23, 2021,CO
Connecticut,"June 23, 2021",675091,59827,25.3,2.3,33 ,June 23, 2021,CT
Delaware,"June 23, 2021",207665,37748,27.2,5.0,33 ,June 23, 2021,DE
District of Columbia,"June 23, 2021",292911,24272,53.8,4.4,33 ,June 23, 2021,DC
Florida,"June 23, 2021",2930895,313942,17.2,1.8,33 ,June 23, 2021,FL
Georgia,"June 23, 2021",1751828,184371,22.1,2.3,33 ,June 23, 2021,GA
Hawaii,"June 23, 2021",199113,34609,18.8,3.3,33 ,June 23, 2021,HI
Idaho,"June 23, 2021",214688,35420,15.7,2.6,33 ,June 23, 2021,ID
Illinois,"June 23, 2021",2442426,231139,26.3,2.6,33 ,June 23, 2021,IL
Indiana,"June 23, 2021",837137,103567,16.8,2.1,33 ,June 23, 2021,IN
Iowa,"June 23, 2021",374737,46302,16.1,2.0,33 ,June 23, 2021,IA
Kansas,"June 23, 2021",447057,55300,20.9,2.6,33 ,June 23, 2021,KS
Kentucky,"June 23, 2021",473077,79538,14.4,2.4,33 ,June 23, 2021,KY
Louisiana,"June 23, 2021",515815,92522,15.2,2.7,33 ,June 23, 2021,LA
