Area,Week,Number,MOE,Percent,MOE Percent
Massachusetts,"26 - March 3-15, 2021",2522558,139446,49.5,2.7
Tennessee,"25 - February 17 - March 1, 2021",1573549,138484,32,2.7
Arizona,"20 - November 25 - December 7, 2020",2007473,138121,37.7,2.7
Washington,"26 - March 3-15, 2021",2508408,137832,44.4,2.5
Wisconsin,"23 - January 20 - February 1, 2021",1690341,137596,39.7,3.2
Wisconsin,"19 - November 11-23, 2020",1567194,137070,37,3.4
Colorado,"22 - January 6-18, 2021",1970478,136670,46.3,3.3
Missouri,"27 - March 17-29, 2021",1492745,136183,34.4,3
South Carolina,"23 - January 20 - February 1, 2021",1137702,136059,30.5,3.7
Arizona,"21 - December 9-21, 2020",2037861,135823,38.1,2.6
Maryland,"23 - January 20 - February 1, 2021",2257331,134244,51.4,2.9
Tennessee,"24 - February 3-15, 2021",1623871,133309,33,2.8
Colorado,"21 - December 9-21, 2020",1990966,132811,46.5,3.1
Washington,"21 - December 9-21, 2020",2350599,132712,42.1,2.4
Maryland,"25 - February 17 - March 1, 2021",2020347,132645,47.1,3.1
Washington,"23 - January 20 - February 1, 2021",2628606,132412,46.4,2.3
Arizona,"23 - January 20 - February 1, 2021",2044408,132179,38.8,2.5
Indiana,"27 - March 17-29, 2021",1629327,131385,34,2.7
Wisconsin,"21 - December 9-21, 2020",1599159,131008,37.9,3.2
Maryland,"16 - September 30 - October 12, 2020",2054882,130822,48,3
New Jersey,"15 - September 16-28, 2020",2735450,129942,42.5,1.9
Indiana,"21 - December 9-21, 2020",1539849,129895,32.3,2.9
Tennessee,"21 - December 9-21, 2020",1439036,129459,29.9,2.8
Tennessee,"19 - November 11-23, 2020",1466053,128626,30,2.7
South Carolina,"20 - November 25 - December 7, 2020",1057178,128543,28.5,3.5
Massachusetts,"23 - January 20 - February 1, 2021",2521035,127770,50.7,2.5
Maryland,"21 - December 9-21, 2020",2100670,127284,48.9,3
Maryland,"22 - January 6-18, 2021",2204433,127168,50.9,2.8
